"market","startups"
"",8824
 Software ,4620
 Biotechnology ,3688
 Mobile ,1983
 E-Commerce ,1805
 Curated Web ,1655
 Enterprise Software ,1280
 Health Care ,1207
 Clean Technology ,1200
 Games ,1182
