"funding_stage","total_companies","acquired_companies","acquisition_rate"
Series C+,2837,586,20.66
Series B,3677,606,16.48
Series A,5747,609,10.60
No Recorded Funding,29943,1472,4.92
Seed,12090,419,3.47
